functional,species,month,date,location,site,site.id,site.grp,start,end,turbidity.ntu,turbidity.group,visibility.m,salinity.psu,tds.ppt,do.mg.l,do.%.sat,turbidity.probe,nitrate.mg.l,nitrate.mv,temp.c,max.turbidity.probe,tl,depth,followed.min,turf.total,unk.oth.macro.total,d.versluysii.total,g.salicornia.total,coral.total,btw.branches.total,cca.total,sponge.total,other.total,total.total,turf,macro,coral,cca,sponge,mucus,other,total,turf.avg,macro.avg,coral.avg,cca.avg,sponge.avg,mucus.avg,other.avg,total.avg,ses,comments,diver,bc.branching,bc.rubble,bc.rock,bc.sand,bc.sponge,bc.plate,bc.cca,bc.turf,bc.macro
Browser,N. unicornis,1,1/18/2023,L3 - North Bay,3,L3S3,C,14:00,14:40,0.241,<1.5,-,35.92,34.77,8.22,123.81,2.70,-,-,26.09917882,2.767173,20.0,0.5,3,0,0,0,0,0,0,0,0,18,18,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.7,0.0,0.0,0.0,0.0,0.0,2.0,2.7,-,-,KG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,1,1/18/2023,L3 - North Bay,3,L3S3,C,14:00,14:40,0.241,<1.5,-,35.92,34.77,8.22,123.81,2.70,-,-,26.09917882,2.767173,17.0,1.5,3,2,0,0,0,0,0,0,0,0,2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,2.0,2.7,-,-,KG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,1,1/18/2023,L3 - North Bay,3,L3S3,C,14:00,14:40,0.241,<1.5,-,35.92,34.77,8.22,123.81,2.70,-,-,26.09917882,2.767173,18.0,1.5,3,4,0,0,0,0,0,0,0,0,4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.7,0.0,0.0,0.0,0.0,0.0,2.0,2.7,-,-,KG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,3,3/24/2023,L3 - North Bay,2,L3S2,C,13:45,14:40,0.781,<1.5,4.40,35.59,34.47,6.61,100.14,3.84,-,-,27.01690561,4.544376,18.0,0.3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,,-,JM,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,3,3/24/2023,L3 - North Bay,2,L3S2,C,13:45,14:40,0.781,<1.5,4.40,35.59,34.47,6.61,100.14,3.84,-,-,27.01690561,4.544376,20.0,1,3,23,0,0,0,0,0,0,0,0,23,7.7,0.0,0.0,0.0,0.0,0.0,0.0,7.7,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,Y,-,AG,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,3,3/24/2023,L3 - North Bay,3,L3S3,C,12:30,13:15,0.505,<1.5,6.75,36.34,35.12,6.27,94.72,3.80,-,-,26.57173429,4.124223,18.0,1,3,35,0,0,0,0,0,0,0,0,35,11.7,0.0,0.0,0.0,0.0,0.0,0.0,11.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,-,AG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,3,3/24/2023,L3 - North Bay,3,L3S3,C,12:30,13:15,0.505,<1.5,6.75,36.34,35.12,6.27,94.72,3.80,-,-,26.57173429,4.124223,20.0,1,3,21,0,0,0,0,0,0,0,0,21,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,-,AG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,3,3/24/2023,L3 - North Bay,3,L3S3,C,12:30,13:15,0.505,<1.5,6.75,36.34,35.12,6.27,94.72,3.80,-,-,26.57173429,4.124223,22.0,1,3,16,0,0,0,0,0,0,0,0,16,5.3,0.0,0.0,0.0,0.0,0.0,0.0,5.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Y,-,AG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,4,4/20/2023,L3 - North Bay,1,L3S1,A,12:10,12:50,3.780,>3,3.15,34.93,33.91,6.59,99.66,3.90,-,-,26.64883387,4.037261,20.0,1,2.5,0,0,0,12,0,0,0,0,0,12,0.0,4.8,0.0,0.0,0.0,0.0,0.0,4.8,0.0,4.8,0.0,0.0,0.0,0.0,0.0,4.8,Y,-,AG,15.17,4.00,0.83,18.25,0.58,0.00,6.50,4.25,50.42
Browser,N. unicornis,4,4/20/2023,L3 - North Bay,2,L3S2,C,13:30,14:10,0.612,<1.5,5.62,34.80,33.80,5.79,87.08,3.98,-,-,26.3986671,4.079397,14.0,2,1.75,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,,-,LT,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
