Collector,Year,Month,Location,Site,SiteID,SiteGrp,Depth,Transect,Transect_ID,T. length,Branching Coral,Rubble,Rock,Sand,Sponge,Plate coral,CCA,Turf Algae,Macro Algae,Branching Coral Avg,Rubble Avg,Rock Avg,Sand Avg,Sponge Avg,Plate coral Avg,CCA Avg,Turf Algae Avg,Macro Algae Avg
Mat,2021,Mar,L1,S1,L1S1,A,D1,1,Mat2021MarL1S1L1S1AD1,50,14,38,6,34,8,0,0,0,0,18.5,27.5,3.666666667,26,8.333333333,0,2.5,13.16666667,0.333333333
Mat,2021,Mar,L1,S1,L1S1,A,D2,1,Mat2021MarL1S1L1S1AD2,50,32,28,8,8,24,0,0,0,0,31.16666667,20.66666667,5,15.66666667,11.16666667,0,2.666666667,13.5,0.166666667
Mat,2021,Mar,L1,S2,L1S2,C,D1,1,Mat2021MarL1S2L1S2CD1,50,62,16,0,12,2,0,0,0,8,46.83333333,5.833333333,0,6.5,2.833333333,1.5,6.5,23.5,6.5
Mat,2021,Mar,L1,S2,L1S2,C,D2,1,Mat2021MarL1S2L1S2CD2,50,52,28,4,6,4,0,2,0,4,50.5,16,0.5,8.333333333,3,0,9.166666667,9.833333333,2.666666667
Mat,2021,Mar,L1,S3,L1S3,B,D1,1,Mat2021MarL1S3L1S3BD1,50,42,6,10,34,6,0,2,0,0,60.83333333,1.333333333,0.833333333,11.83333333,3.666666667,0,5.833333333,11.5,4.166666667
Mat,2021,Mar,L1,S3,L1S3,B,D2,1,Mat2021MarL1S3L1S3BD2,50,52,14,2,26,4,0,0,0,2,62.5,9.166666667,0.166666667,15.83333333,1.666666667,0,3,6.833333333,0.833333333
Mat,2021,Apr,L1,S1,L1S1,A,D1,1,Mat2021AprL1S1L1S1AD1,50,4,26,16,38,10,0,0,6,0,18.5,27.5,3.666666667,26,8.333333333,0,2.5,13.16666667,0.333333333
Mat,2021,Apr,L1,S1,L1S1,A,D2,1,Mat2021AprL1S1L1S1AD2,50,22,14,44,8,12,0,0,0,0,31.16666667,20.66666667,5,15.66666667,11.16666667,0,2.666666667,13.5,0.166666667
Mat,2021,Apr,L1,S2,L1S2,C,D1,1,Mat2021AprL1S2L1S2CD1,50,54,6,0,6,14,18,2,0,0,46.83333333,5.833333333,0,6.5,2.833333333,1.5,6.5,23.5,6.5
Mat,2021,Apr,L1,S2,L1S2,C,D2,1,Mat2021AprL1S2L1S2CD2,50,46,16,2,12,4,0,20,0,0,50.5,16,0.5,8.333333333,3,0,9.166666667,9.833333333,2.666666667
Mat,2021,Apr,L1,S3,L1S3,B,D1,1,Mat2021AprL1S3L1S3BD1,50,62,4,0,12,14,0,8,0,0,60.83333333,1.333333333,0.833333333,11.83333333,3.666666667,0,5.833333333,11.5,4.166666667
Mat,2021,Apr,L1,S3,L1S3,B,D2,1,Mat2021AprL1S3L1S3BD2,50,60,14,0,22,0,0,4,0,0,62.5,9.166666667,0.166666667,15.83333333,1.666666667,0,3,6.833333333,0.833333333
