species,fish_id,site.id,turf,macro,coral,cca,sponge,rubble,rock,other
N. unicornis,nu1,L3S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
N. unicornis,nu2,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu3,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu4,L3S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu5,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu6,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu7,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu8,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu9,L3S1,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu10,L3S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu11,L3S2,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu12,L3S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu13,L3S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu14,L3S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu15,L3S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu16,L3S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu17,L3S3,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu18,L3S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu19,L3S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu20,L3S2,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
N. unicornis,nu21,L3S2,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
